large_tile,small_tile,top_left_x,top_left_y,bottom_right_x,bottom_right_y
2076953.0.png,2076953.0_1.png,152,100,246,256
2276072.0.png,2276072.0_1.png,151,108,247,249
2284600.0.png,2284600.0_1.png,135,82,264,274
2448495.0.png,2448495.0_1.png,148,110,251,247
2449834.0.png,2449834.0_1.png,135,90,264,266
2590517.0.png,2590517.0_1.png,151,120,247,236
2595650.0.png,2595650.0_1.png,159,130,240,227
2619334.0.png,2619334.0_1.png,139,105,259,252
2638199.0.png,2638199.0_1.png,137,102,262,254
2644830.0.png,2644830.0_1.png,150,120,248,236
2654007.0.png,2654007.0_1.png,135,101,263,255
2718896.0.png,2718896.0_1.png,152,125,247,232
2719472.0.png,2719472.0_1.png,160,135,239,221
2796759.0.png,2796759.0_1.png,148,123,250,234
2831308.0.png,2831308.0_1.png,133,104,266,252
2840739.0.png,2840739.0_1.png,145,119,254,237
2850875.0.png,2850875.0_1.png,133,105,266,251
2873675.0.png,2873675.0_1.png,149,125,250,231
2884157.0.png,2884157.0_1.png,134,108,264,249
2910300.0.png,2910300.0_1.png,147,124,251,232
2911159.0.png,2911159.0_1.png,155,134,243,222
2980403.0.png,2980403.0_1.png,158,139,240,218
3016624.0.png,3016624.0_1.png,155,135,244,221
3070479.0.png,3070479.0_1.png,146,127,252,230
3071503.0.png,3071503.0_1.png,160,143,238,214
3130415.0.png,3130415.0_1.png,140,121,258,236
3134706.0.png,3134706.0_1.png,135,115,264,242
3177404.0.png,3177404.0_1.png,136,117,262,240
3212788.0.png,3212788.0_1.png,137,119,261,237
3225506.0.png,3225506.0_1.png,137,119,261,238
3236799.0.png,3236799.0_1.png,168,153,230,203
3249836.0.png,3249836.0_1.png,135,117,264,240
3254495.0.png,3254495.0_1.png,142,125,257,232
3264516.0.png,3264516.0_1.png,150,134,248,222
3275072.0.png,3275072.0_1.png,146,129,253,227
3286309.0.png,3286309.0_1.png,136,119,262,237
3294215.0.png,3294215.0_1.png,135,118,263,238
3335605.0.png,3335605.0_1.png,133,116,266,240
3342216.0.png,3342216.0_1.png,142,126,257,230
3359383.0.png,3359383.0_1.png,137,121,261,235
3374066.0.png,3374066.0_1.png,144,130,254,227
3379680.0.png,3379680.0_1.png,138,122,261,234
3393195.0.png,3393195.0_1.png,135,119,264,237
3426532.0.png,3426532.0_1.png,146,132,253,225
3430916.0.png,3430916.0_1.png,134,119,264,237
3432037.0.png,3432037.0_1.png,153,140,245,217
3433645.0.png,3433645.0_1.png,150,136,248,220
3439532.0.png,3439532.0_1.png,136,121,263,235
3462092.0.png,3462092.0_1.png,134,120,264,237
3475579.0.png,3475579.0_1.png,144,131,254,226
3483248.0.png,3483248.0_1.png,134,119,265,237
3485507.0.png,3485507.0_1.png,152,139,246,217
3498306.0.png,3498306.0_1.png,137,123,261,233
3508649.0.png,3508649.0_1.png,134,120,265,236
3520793.0.png,3520793.0_1.png,164,152,235,205
3577821.0.png,3577821.0_1.png,147,135,251,221
3634839.0.png,3634839.0_1.png,133,121,266,236
3665779.0.png,3665779.0_1.png,160,148,239,208
3684053.0.png,3684053.0_1.png,137,126,261,231
3707808.0.png,3707808.0_1.png,140,129,259,228
3743596.0.png,3743596.0_1.png,139,129,259,228
3761275.0.png,3761275.0_1.png,135,124,263,232
3816377.0.png,3816377.0_1.png,150,139,249,217
3871203.0.png,3871203.0_1.png,131,120,268,236
3920729.0.png,3920729.0_1.png,133,123,265,234
3927829.0.png,3927829.0_1.png,134,124,264,233
3961777.0.png,3961777.0_1.png,137,127,261,230
4021630.0.png,4021630.0_1.png,136,125,262,231
4051890.0.png,4051890.0_1.png,133,123,265,234
4067508.0.png,4067508.0_1.png,135,124,264,233
4107875.0.png,4107875.0_1.png,131,120,267,237
4123761.0.png,4123761.0_1.png,161,150,237,206
4170017.0.png,4170017.0_1.png,153,142,245,215
4173505.0.png,4173505.0_1.png,131,120,267,237
4188928.0.png,4188928.0_1.png,137,125,261,231
4195186.0.png,4195186.0_1.png,132,120,266,236
4220013.0.png,4220013.0_1.png,140,128,259,229
4224735.0.png,4224735.0_1.png,137,124,262,232
4231890.0.png,4231890.0_1.png,134,122,264,235
4273201.0.png,4273201.0_1.png,144,132,254,225
4306426.0.png,4306426.0_1.png,136,122,263,234
4338329.0.png,4338329.0_1.png,161,149,237,208
4342191.0.png,4342191.0_1.png,136,122,262,234
4349101.0.png,4349101.0_1.png,153,140,245,217
4350494.0.png,4350494.0_1.png,159,146,239,210
4355249.0.png,4355249.0_1.png,138,124,261,232
4492204.0.png,4492204.0_1.png,138,121,260,236
4528845.0.png,4528845.0_1.png,141,123,257,234
4534445.0.png,4534445.0_1.png,143,125,256,232
4545330.0.png,4545330.0_1.png,142,124,256,233
4547413.0.png,4547413.0_1.png,137,118,261,238
4628539.0.png,4628539.0_1.png,155,135,244,222
463254.0.png,463254.0_1.png,138,109,260,248
4647414.0.png,4647414.0_1.png,149,127,250,230
4648630.0.png,4648630.0_1.png,135,111,264,246
4650301.0.png,4650301.0_1.png,132,107,267,250
4657220.0.png,4657220.0_1.png,133,109,265,248
4709073.0.png,4709073.0_1.png,141,114,257,243
4713694.0.png,4713694.0_1.png,179,161,219,195
4714653.0.png,4714653.0_1.png,134,105,264,252
4717698.0.png,4717698.0_1.png,153,128,245,228
4734275.0.png,4734275.0_1.png,139,108,260,248
4757786.0.png,4757786.0_1.png,174,152,225,205
4782791.0.png,4782791.0_1.png,140,104,258,253
4793330.0.png,4793330.0_1.png,134,93,265,264
4817923.0.png,4817923.0_1.png,138,94,260,263
4840185.0.png,4840185.0_1.png,140,92,258,264
4871033.0.png,4871033.0_1.png,148,97,250,259
4874322.0.png,4874322.0_1.png,145,92,253,264
521672.0.png,521672.0_1.png,135,113,263,243
599891.0.png,599891.0_1.png,137,122,261,235
605965.0.png,605965.0_1.png,131,116,267,241
671012.0.png,671012.0_1.png,145,133,254,223
688841.0.png,688841.0_1.png,149,138,249,218
844402.0.png,844402.0_1.png,135,122,264,234
846666.0.png,846666.0_1.png,140,128,258,229
846945.0.png,846945.0_1.png,135,122,264,235
848750.0.png,848750.0_1.png,135,122,264,234
850430.0.png,850430.0_1.png,146,133,253,223
973680.0.png,973680.0_1.png,132,98,267,258
975453.0.png,975453.0_1.png,132,98,266,258
980720.0.png,980720.0_1.png,145,113,253,243
989184.0.png,989184.0_1.png,142,104,257,252
991060.0.png,991060.0_1.png,140,101,259,256
993162.0.png,993162.0_1.png,146,107,253,249
