image_name,x_min,y_min,x_max,y_max
2388515.0.png,136.0,89.0,263.0,268.0
2474327.0.png,153.0,118.0,245.0,238.0
2556370.0.png,137.0,99.0,262.0,258.0
2660201.0.png,166.0,142.0,232.0,214.0
2785016.0.png,134.0,104.0,265.0,252.0
2814673.0.png,139.0,112.0,259.0,245.0
2848549.0.png,137.0,110.0,262.0,247.0
2851391.0.png,139.0,112.0,260.0,244.0
2884163.0.png,143.0,119.0,255.0,238.0
2946425.0.png,147.0,124.0,252.0,232.0
2952050.0.png,131.0,106.0,267.0,250.0
2971903.0.png,168.0,150.0,231.0,206.0
2979182.0.png,152.0,131.0,247.0,225.0
2982979.0.png,141.0,119.0,257.0,237.0
3017911.0.png,164.0,146.0,235.0,210.0
3024416.0.png,138.0,116.0,261.0,240.0
3034731.0.png,134.0,112.0,265.0,245.0
3099015.0.png,131.0,109.0,268.0,247.0
3109615.0.png,159.0,142.0,239.0,215.0
3114058.0.png,145.0,126.0,253.0,230.0
3119848.0.png,146.0,127.0,253.0,230.0
3131778.0.png,143.0,123.0,256.0,233.0
3197462.0.png,157.0,141.0,241.0,216.0
3246636.0.png,141.0,124.0,258.0,233.0
3251574.0.png,135.0,117.0,263.0,239.0
3259376.0.png,135.0,117.0,263.0,239.0
3376684.0.png,134.0,119.0,264.0,238.0
3389598.0.png,151.0,136.0,248.0,220.0
3422242.0.png,161.0,147.0,238.0,209.0
3425210.0.png,162.0,149.0,237.0,208.0
3427982.0.png,139.0,125.0,259.0,232.0
3443964.0.png,142.0,128.0,257.0,229.0
3459203.0.png,139.0,125.0,259.0,231.0
3478496.0.png,148.0,135.0,250.0,222.0
3499370.0.png,142.0,128.0,257.0,228.0
3568758.0.png,131.0,118.0,268.0,238.0
3586718.0.png,141.0,128.0,258.0,228.0
3589874.0.png,138.0,125.0,261.0,231.0
3598273.0.png,156.0,144.0,243.0,213.0
3649693.0.png,135.0,124.0,263.0,233.0
3695243.0.png,137.0,126.0,261.0,231.0
3719367.0.png,138.0,126.0,261.0,230.0
3727549.0.png,136.0,125.0,263.0,232.0
3773102.0.png,135.0,124.0,264.0,232.0
3791733.0.png,140.0,130.0,258.0,227.0
3861455.0.png,131.0,120.0,268.0,236.0
4085738.0.png,136.0,125.0,263.0,232.0
4195974.0.png,136.0,124.0,263.0,233.0
4202544.0.png,152.0,141.0,246.0,216.0
4239444.0.png,173.0,161.0,226.0,196.0
4286077.0.png,137.0,124.0,261.0,232.0
4339439.0.png,140.0,127.0,258.0,230.0
4388465.0.png,135.0,120.0,264.0,237.0
4512941.0.png,150.0,133.0,248.0,223.0
4513875.0.png,141.0,123.0,258.0,234.0
4517596.0.png,131.0,112.0,267.0,244.0
4525212.0.png,132.0,113.0,266.0,243.0
4540426.0.png,144.0,126.0,254.0,230.0
4548566.0.png,141.0,122.0,258.0,234.0
4647674.0.png,153.0,132.0,245.0,224.0
4647770.0.png,141.0,118.0,257.0,238.0
4698037.0.png,138.0,111.0,260.0,245.0
4715430.0.png,163.0,141.0,235.0,215.0
4800703.0.png,144.0,106.0,254.0,251.0
4802577.0.png,144.0,106.0,254.0,250.0
4826044.0.png,133.0,84.0,266.0,273.0
4917719.0.png,167.0,117.0,232.0,239.0
495762.0.png,141.0,117.0,258.0,240.0
541616.0.png,130.0,109.0,268.0,247.0
549179.0.png,141.0,122.0,258.0,235.0
633623.0.png,149.0,136.0,249.0,221.0
660423.0.png,158.0,146.0,241.0,211.0
717269.0.png,135.0,124.0,264.0,232.0
731018.0.png,147.0,136.0,251.0,220.0
731523.0.png,137.0,126.0,262.0,230.0
860355.0.png,140.0,127.0,258.0,230.0
914526.0.png,144.0,126.0,254.0,230.0
3727082.0.png,135.0,124.0,264.0,233.0
3734559.0.png,141.0,131.0,257.0,226.0
3752228.0.png,133.0,123.0,265.0,234.0
3752636.0.png,131.0,120.0,268.0,236.0
3768789.0.png,134.0,123.0,264.0,233.0
3780935.0.png,147.0,136.0,252.0,221.0
3800217.0.png,132.0,121.0,266.0,235.0
3811377.0.png,131.0,120.0,268.0,236.0
3813719.0.png,144.0,133.0,255.0,223.0
3829861.0.png,133.0,122.0,266.0,234.0
3857966.0.png,134.0,123.0,265.0,234.0
3863915.0.png,133.0,122.0,266.0,234.0
3878685.0.png,134.0,123.0,265.0,233.0
3896410.0.png,144.0,133.0,255.0,223.0
3901098.0.png,134.0,123.0,265.0,233.0
3911481.0.png,133.0,122.0,266.0,234.0
3915980.0.png,132.0,122.0,266.0,235.0
3916035.0.png,132.0,121.0,266.0,235.0
3916105.0.png,131.0,121.0,267.0,236.0
3919949.0.png,133.0,123.0,265.0,234.0
3921579.0.png,131.0,120.0,268.0,236.0
3940882.0.png,143.0,133.0,255.0,224.0
3948077.0.png,132.0,121.0,267.0,235.0
3948903.0.png,137.0,127.0,261.0,230.0
3957556.0.png,138.0,127.0,261.0,229.0
3960543.0.png,134.0,124.0,264.0,233.0
3974828.0.png,141.0,131.0,257.0,226.0
3978188.0.png,131.0,120.0,268.0,237.0
4014249.0.png,131.0,120.0,268.0,236.0
4022275.0.png,140.0,130.0,258.0,227.0
4048693.0.png,132.0,121.0,266.0,235.0
4078518.0.png,132.0,121.0,266.0,235.0
4079727.0.png,132.0,121.0,266.0,235.0
4100547.0.png,137.0,126.0,262.0,231.0
4100672.0.png,137.0,126.0,261.0,230.0
4107093.0.png,140.0,129.0,258.0,227.0
4112870.0.png,132.0,121.0,266.0,235.0
4119044.0.png,134.0,123.0,265.0,234.0
4123185.0.png,161.0,150.0,238.0,207.0
4123984.0.png,142.0,131.0,256.0,226.0
4126205.0.png,132.0,121.0,267.0,236.0
412667.0.png,135.0,95.0,263.0,261.0
4130568.0.png,131.0,120.0,267.0,237.0
4150200.0.png,140.0,129.0,258.0,228.0
4151021.0.png,131.0,120.0,267.0,237.0
4156260.0.png,142.0,130.0,257.0,226.0
4159228.0.png,135.0,123.0,264.0,233.0
4159446.0.png,144.0,132.0,255.0,224.0
4172135.0.png,151.0,140.0,247.0,217.0
4173030.0.png,143.0,131.0,256.0,225.0
4189954.0.png,138.0,126.0,261.0,231.0
4194559.0.png,141.0,130.0,257.0,227.0
4194560.0.png,132.0,120.0,267.0,236.0
4195872.0.png,146.0,134.0,253.0,223.0
4198444.0.png,154.0,142.0,244.0,214.0
4200862.0.png,138.0,126.0,261.0,231.0
4216333.0.png,144.0,132.0,254.0,224.0
4219197.0.png,143.0,131.0,256.0,226.0
4222050.0.png,132.0,120.0,266.0,236.0
4222606.0.png,149.0,137.0,250.0,220.0
4225574.0.png,133.0,121.0,266.0,236.0
4226650.0.png,134.0,121.0,265.0,235.0
4239034.0.png,135.0,123.0,263.0,234.0
4240258.0.png,134.0,122.0,264.0,235.0
424420.0.png,136.0,99.0,262.0,257.0
4244866.0.png,137.0,125.0,261.0,232.0
4252775.0.png,134.0,121.0,265.0,235.0
4253181.0.png,150.0,138.0,249.0,219.0
4255837.0.png,152.0,140.0,246.0,216.0
4262018.0.png,133.0,120.0,265.0,236.0
4268391.0.png,136.0,124.0,262.0,233.0
4287157.0.png,133.0,120.0,266.0,237.0
4289089.0.png,136.0,122.0,263.0,234.0
4298233.0.png,148.0,136.0,250.0,221.0
4315993.0.png,133.0,120.0,265.0,237.0
434824.0.png,139.0,105.0,259.0,252.0
4353605.0.png,140.0,126.0,258.0,230.0
4357447.0.png,132.0,117.0,267.0,239.0
4381633.0.png,154.0,141.0,244.0,216.0
4405480.0.png,135.0,120.0,264.0,237.0
440886.0.png,151.0,122.0,247.0,234.0
4470827.0.png,132.0,115.0,266.0,242.0
4471281.0.png,135.0,118.0,263.0,238.0
4473069.0.png,132.0,115.0,266.0,242.0
4508885.0.png,133.0,114.0,266.0,242.0
4526801.0.png,133.0,113.0,266.0,243.0
4531157.0.png,140.0,122.0,258.0,234.0
4542795.0.png,131.0,112.0,267.0,245.0
4551468.0.png,133.0,114.0,265.0,243.0
4565226.0.png,148.0,129.0,251.0,228.0
4566021.0.png,134.0,114.0,264.0,242.0
4573939.0.png,151.0,133.0,247.0,224.0
4590954.0.png,134.0,112.0,264.0,244.0
4596174.0.png,131.0,109.0,268.0,248.0
4597206.0.png,147.0,127.0,252.0,229.0
4598834.0.png,133.0,111.0,266.0,246.0
4605431.0.png,137.0,115.0,262.0,241.0
4616927.0.png,136.0,114.0,262.0,242.0
4622125.0.png,164.0,146.0,234.0,210.0
4625064.0.png,143.0,122.0,255.0,235.0
4631069.0.png,132.0,109.0,266.0,248.0
4633053.0.png,135.0,111.0,264.0,245.0
4645396.0.png,145.0,123.0,254.0,234.0
4651100.0.png,136.0,112.0,263.0,245.0
4654952.0.png,133.0,108.0,266.0,249.0
4662232.0.png,135.0,110.0,263.0,246.0
4663094.0.png,132.0,106.0,267.0,251.0
4663371.0.png,133.0,108.0,265.0,248.0
4674440.0.png,131.0,105.0,267.0,252.0
4701227.0.png,134.0,106.0,264.0,251.0
4701404.0.png,135.0,106.0,264.0,250.0
471046.0.png,141.0,114.0,257.0,243.0
4710925.0.png,134.0,104.0,265.0,252.0
4715430.0.png,163.0,141.0,235.0,215.0
4715483.0.png,138.0,109.0,261.0,248.0
4716395.0.png,136.0,106.0,263.0,250.0
4723360.0.png,136.0,107.0,262.0,250.0
4731962.0.png,143.0,114.0,255.0,242.0
4744956.0.png,133.0,99.0,266.0,257.0
474704.0.png,143.0,117.0,256.0,240.0
4748414.0.png,135.0,101.0,264.0,255.0
4748795.0.png,132.0,98.0,266.0,259.0
4763866.0.png,131.0,94.0,267.0,263.0
4772902.0.png,136.0,99.0,263.0,257.0
4782097.0.png,132.0,92.0,267.0,264.0
4787081.0.png,152.0,120.0,246.0,237.0
4804188.0.png,132.0,88.0,267.0,269.0
4808720.0.png,139.0,98.0,259.0,258.0
4827698.0.png,145.0,102.0,254.0,254.0
482771.0.png,142.0,117.0,256.0,239.0
4844474.0.png,159.0,121.0,239.0,235.0
484714.0.png,162.0,142.0,236.0,215.0
488767.0.png,137.0,111.0,262.0,245.0
4898668.0.png,133.0,62.0,266.0,294.0
4909393.0.png,153.0,94.0,245.0,262.0
4910111.0.png,134.0,59.0,264.0,297.0
491093.0.png,137.0,111.0,262.0,245.0
4923176.0.png,131.0,45.0,267.0,312.0
498972.0.png,134.0,109.0,265.0,247.0
512094.0.png,132.0,108.0,267.0,248.0
513718.0.png,143.0,121.0,256.0,235.0
515426.0.png,134.0,111.0,265.0,245.0
521041.0.png,139.0,117.0,260.0,239.0
524508.0.png,154.0,135.0,244.0,221.0
525652.0.png,139.0,118.0,260.0,239.0
565196.0.png,134.0,116.0,264.0,240.0
579433.0.png,133.0,115.0,266.0,241.0
579726.0.png,132.0,115.0,266.0,242.0
586580.0.png,134.0,117.0,264.0,239.0
587314.0.png,132.0,115.0,267.0,241.0
598079.0.png,156.0,142.0,243.0,215.0
599586.0.png,132.0,115.0,267.0,241.0
604188.0.png,132.0,116.0,267.0,241.0
610429.0.png,136.0,120.0,263.0,236.0
612940.0.png,132.0,117.0,266.0,240.0
618373.0.png,139.0,125.0,259.0,232.0
621360.0.png,133.0,118.0,266.0,239.0
621855.0.png,157.0,143.0,242.0,213.0
626949.0.png,137.0,123.0,261.0,233.0
628876.0.png,142.0,128.0,257.0,228.0
633480.0.png,147.0,134.0,251.0,223.0
633984.0.png,142.0,128.0,257.0,228.0
635030.0.png,132.0,118.0,266.0,239.0
639315.0.png,132.0,118.0,267.0,238.0
670480.0.png,132.0,119.0,267.0,237.0
677339.0.png,132.0,120.0,267.0,237.0
687551.0.png,147.0,136.0,251.0,220.0
690455.0.png,136.0,125.0,262.0,232.0
706912.0.png,138.0,127.0,261.0,230.0
710711.0.png,173.0,163.0,225.0,194.0
732153.0.png,145.0,135.0,253.0,222.0
747921.0.png,136.0,126.0,262.0,230.0
754584.0.png,133.0,123.0,265.0,234.0
777065.0.png,136.0,125.0,263.0,231.0
794254.0.png,148.0,138.0,250.0,219.0
827728.0.png,150.0,139.0,248.0,218.0
836830.0.png,142.0,130.0,256.0,226.0
844380.0.png,131.0,119.0,267.0,237.0
848775.0.png,161.0,150.0,237.0,207.0
867705.0.png,134.0,120.0,265.0,237.0
873866.0.png,136.0,122.0,262.0,234.0
890401.0.png,139.0,123.0,260.0,233.0
899666.0.png,163.0,148.0,236.0,208.0
901639.0.png,136.0,119.0,262.0,237.0
926608.0.png,138.0,117.0,261.0,239.0
929067.0.png,145.0,126.0,253.0,231.0
929076.0.png,143.0,124.0,255.0,233.0
932328.0.png,138.0,117.0,260.0,240.0
933396.0.png,150.0,131.0,248.0,226.0
933429.0.png,160.0,142.0,239.0,215.0
